UID,Response ID,Time Started,Date Submitted,Status,Your birth YEAR (Ex. 1988),Your AVANCE site: ,Houston Sites,"P-C Interactions, ECLS-B_READ",...10,"P-C Interactions, ECLS-B...11",...12,"P-C Interactions, ECLS-B...13",...14,"P-C Interactions, ECLS-B...15",...16,"P-C Interactions, HOME...17",...18,"P-C Interactions, HOME...19",...20,ECLSB_ALL,Parental Stress_PSOC #1,...23,Parental Stress_PSOC #2,R...25,Parental Stress_PSOC #3,R...27,Parental Stress_PSOC #5,R...29,Parental Stress_PSOC #8,R...31,Parental Stress_PSOC #10,...33,Parental Stress_PSOC #13,...35,Parental Stress_PSOC #15,...37,Parental Stress_PSOC #16,...39,Parental Stress_PSOC #17,...41,psoc_all,"P-C Interactions, FIQ SBI1",...44,"P-C Interactions, FIQ SBI2",...46,"P-C Interactions, FIQ SBI3",...48,"P-C Interactions, FIQ SBI4",...50,fiqsb_all,"P-C Interactions, FIQ HBI1",...53,"P-C Interactions, FIQ HBI2",...55,"P-C Interactions, FIQ HBI3",...57,"P-C Interactions, FIQ HBI4",...59,"P-C Interactions, FIQ HBI5",...61,"P-C Interactions, FIQ HBI6",...63,"P-C Interactions, FIQ HBI8",...65,"P-C Interactions, FIQ HBI9",...67,"P-C Interactions, FIQ HBI10",...69,"P-C Interactions, FIQ HBI11",...71,"P-C Interactions, FIQ HBI12",...73,"P-C Interactions, FIQ HBI13",...75,FIQHB _ALL,"P-C Interactions, FIQ HSC3",...78,"P-C Interactions, FIQ HSC4",...80,"P-C Interactions, FIQ HSC5",...82,"P-C Interactions, FIQ HSC6",...84,"P-C Interactions, FIQ HSC7",...86,FIQHSC_ALL,Efficacy FES1,...89,Efficacy FES3,...91,Efficacy FES4,...93,Efficacy FES6,...95,fesfam_all,Efficacy FES7,...98,Efficacy FES9,...100,Efficacy FES10,...102,Efficacy FES11,...104,Efficacy FES14,...106,fesadv_all,Belonging SCS1,R...109,Belonging SCS2,R...111,Belonging SCS3,R...113,Belonging SCS4,R...115,Belonging SCS5,R...117,Belonging SCS6,R...119,Belonging SCS7,...121,Belonging SCS10,...123,Belonging SCS11,...125,scs_all,Kinder Readiness SPEAK1,FIVE...128,Kinder Readiness SPEAK2,FIVE...130,Kinder Readiness SPEAK3,FIVE...132,Kinder Readiness SPEAK4,...134,Kinder Readiness SPEAK5,...136,Kinder Readiness SPEAK6 - REVERSE,R...138,Kinder Readiness SPEAK7 - REVERSE,R...140,Kinder Readiness SPEAK9,...142,Kinder Readiness SPEAK10,...144,Kinder Readiness SPEAK11,...146,Kinder Readiness SPEAK12,...148,Kinder Readiness SPEAK13,...150,Kinder Readiness SPEAK13 - REVERSE,...152,Kinder Readiness SPEAK14,...154,Kinder Readiness SPEAK15,...156,SPEAK_ALL,"TANF:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Food Stamps:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Health Care:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Health Clinics:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Family Planning:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Alcoholics Anonymous:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Parents Anonymous:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Police/Fire Department:Of the resources listed below, which are you familiar with? (Check all that apply.) ","U.S. Citizenship and Immigration Services:Of the resources listed below, which are you familiar with? (Check all that apply.) ","IRS- Earned Income Credit:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Head Start/Early Head Start:Of the resources listed below, which are you familiar with? (Check all that apply.) ","CCMS- Child Care Management System:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Early Childhood Intervention (ECI):Of the resources listed below, which are you familiar with? (Check all that apply.) ","Local Community Colleges:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Public Library:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Adult Literacy Programs:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Career Readiness:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Banks- Financial Literacy:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Domestic Violence Shelter:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Child Abuse Prevention:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Youth Development Programs:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Counseling / Therapy:Of the resources listed below, which are you familiar with? (Check all that apply.) ","Other - Write In:Of the resources listed below, which are you familiar with? (Check all that apply.) ...180","Other - Write In:Of the resources listed below, which are you familiar with? (Check all that apply.) ...181","TANF:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Food Stamps:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Health Care:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Health Clinics:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Family Planning:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Alcoholics Anonymous:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Parents Anonymous:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Police/Fire Department:Of the resources you are familiar with, which have you used? (Check all that apply.) ","U.S. Citizenship and Immigration Services:Of the resources you are familiar with, which have you used? (Check all that apply.) ","IRS- Earned Income Credit:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Head Start/Early Head Start:Of the resources you are familiar with, which have you used? (Check all that apply.) ","CCMS- Child Care Management System:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Early Childhood Intervention (ECI):Of the resources you are familiar with, which have you used? (Check all that apply.) ","Local Community Colleges:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Public Library:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Adult Literacy Programs:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Career Readiness:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Banks- Financial Literacy:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Domestic Violence Shelter:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Child Abuse Prevention:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Youth Development Programs:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Counseling / Therapy:Of the resources you are familiar with, which have you used? (Check all that apply.) ","Other - Write In:Of the resources you are familiar with, which have you used? (Check all that apply.) ...204","Other - Write In:Of the resources you are familiar with, which have you used? (Check all that apply.) ...205",Which of the following best describes your employment status at this time?,Do you have any interest in seeking employment or further education in the future?,"ESL Classes:Since you started with AVANCE, which of the following career or educational needs have been met?  (Check all that apply).","GED Classes:Since you started with AVANCE, which of the following career or educational needs have been met?  (Check all that apply).","Resume Support:Since you started with AVANCE, which of the following career or educational needs have been met?  (Check all that apply).","Interviewing Skills:Since you started with AVANCE, which of the following career or educational needs have been met?  (Check all that apply).","Finance/Accounting:Since you started with AVANCE, which of the following career or educational needs have been met?  (Check all that apply).","More information about my options:Since you started with AVANCE, which of the following career or educational needs have been met?  (Check all that apply).","Computer/Tech Literacy:Since you started with AVANCE, which of the following career or educational needs have been met?  (Check all that apply).","Other - Write In (Required):Since you started with AVANCE, which of the following career or educational needs have been met?  (Check all that apply)....215","Other - Write In (Required):Since you started with AVANCE, which of the following career or educational needs have been met?  (Check all that apply)....216",ESL Classes:In the future do you have any plans to pursue any of the following?  (Check all that apply).,Adult Basic Education:In the future do you have any plans to pursue any of the following?  (Check all that apply).,Interviewing Skills:In the future do you have any plans to pursue any of the following?  (Check all that apply).,Financial Literacy:In the future do you have any plans to pursue any of the following?  (Check all that apply).,Computer/Tech Literacy:In the future do you have any plans to pursue any of the following?  (Check all that apply).,GED:In the future do you have any plans to pursue any of the following?  (Check all that apply).,College/University:In the future do you have any plans to pursue any of the following?  (Check all that apply).,More information about my options:In the future do you have any plans to pursue any of the following?  (Check all that apply).,Other - Write In (Required):In the future do you have any plans to pursue any of the following?  (Check all that apply)....225,Other - Write In (Required):In the future do you have any plans to pursue any of the following?  (Check all that apply)....226,"Since you started with AVANCE, have you enrolled in or completed any additional educational programs?",GED:Which of the following educational programs have you begun or completed? (Check all that apply).,Certificate:Which of the following educational programs have you begun or completed? (Check all that apply).,Associates:Which of the following educational programs have you begun or completed? (Check all that apply).,Bachelors:Which of the following educational programs have you begun or completed? (Check all that apply).,Masters:Which of the following educational programs have you begun or completed? (Check all that apply).,Other - Write In:Which of the following educational programs have you begun or completed? (Check all that apply)....233,Other - Write In:Which of the following educational programs have you begun or completed? (Check all that apply)....234,"What is your average gross MONTHLY (not yearly) family income at this time?   (This is an estimate of how much money you make in a month for all family members in your household ex: $1,000 from all adults).  ","Now that vaccines for COVID-19 are available to all adults, are you willing to receive the vaccine?","On a scale of 1-10 (0 = not likely, 10 = very likely), how likely would you be to recommend this program to a friend or family member?"
A2152,32,2021-05-27T11:21:37Z,2021-05-27T11:56:17Z,Partial,1983,Houston,Freeman,1 to 2 times  a week,NA,Not at all,NA,1 to 2 times a week,NA,1 to 2 times a week,NA,Parents should <strong>always</strong> spend time teaching their children,NA,NA,NA,NA,Agree,NA,Agree,NA,Strongly Disagree,NA,Disagree,NA,Agree,NA,Agree,NA,Agree,NA,Strongly Agree,NA,Strongly Disagree,NA,Strongly Agree,NA,NA,Always,NA,Rarely,NA,Rarely,NA,N/A,NA,NA,Always,NA,Rarely,NA,Often,NA,Sometimes,NA,Sometimes,NA,Always,NA,Rarely,NA,Always,NA,Always,NA,Often,NA,Always,NA,Always,NA,NA,Rarely,NA,Rarely,NA,Rarely,NA,Sometimes,NA,Always,NA,NA,Always,NA,Always,NA,Always,NA,Always,NA,NA,Always,NA,Always,NA,Always,NA,Always,NA,Always,NA,NA,Disagree,NA,Disagree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Disagree,NA,Strongly Agree,NA,Strongly Disagree,NA,NA,"As an infant, 0 to 6 months",NA,"As an infant, 0 to 6 months",NA,"As a toddler, 1 to 3 years",NA,Strongly Disagree,NA,Strongly Disagree,NA,Strongly Agree,NA,Strongly Agree,NA,Strongly Agree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Strongly Disagree,NA,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,33,2021-05-28T12:46:53Z,2021-05-29T13:44:58Z,Partial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8311,37,2021-06-02T10:59:00Z,2021-06-02T11:16:32Z,Complete,1990,Houston,Kruse,3 to 6 times a week,3,1 to 2 times a week,2,1 to 2 times a week,2,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Agree,2,Disagree,5,Somewhat Agree,3,Agree,2,Strongly Agree,6,Strongly Agree,6,Strongly Agree,6,Agree,5,Strongly Agree,6,46,N/A,0,Rarely,1,N/A,0,Rarely,1,2,Often,3,Sometimes,2,Often,3,Often,3,Often,3,Often,3,Often,3,Often,3,Often,3,Often,3,Sometimes,2,Often,3,34,Often,3,Often,3,Often,3,Sometimes,2,Rarely,1,12,Often,4,Often,4,Often,4,Often,4,16,Sometimes,3,Often,4,Often,4,Often,4,Often,4,19,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Slightly Disagree,4,Disagree,5,Agree,5,Agree,5,Agree,5,44,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a toddler, 1 to 3 years",3,Strongly Disagree,4,Disagree,3,Disagree,1,Strongly Agree,4,Agree,1,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Agree,1,Neutral,2,44,TANF,NA,Health Care,Health Clinics,Family Planning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TANF,NA,Health Care,Health Clinics,Family Planning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unemployed (Not seeking employment),Yes,ESL Classes,GED Classes,NA,NA,NA,NA,NA,NA,NA,ESL Classes,Adult Basic Education,NA,Financial Literacy,NA,GED,College/University,NA,NA,NA,Yes,GED,NA,NA,NA,NA,NA,NA,1800,I don't know/Unsure,10
A9822,35,2021-06-02T10:58:32Z,2021-06-02T11:31:00Z,Partial,1988,Houston,Freeman,3 to 6 times a week,NA,3 to 6 times a week,NA,3 to 6 times a week,NA,3 to 6 times a week,NA,Parents should <strong>usually</strong> spend time teaching their children,NA,NA,NA,NA,Agree,NA,Somewhat Agree,NA,Somewhat Agree,NA,Strongly Disagree,NA,Agree,NA,Agree,NA,Agree,NA,Somewhat Agree,NA,Somewhat Disagree,NA,Agree,NA,NA,Sometimes,NA,Often,NA,Often,NA,Always,NA,NA,Always,NA,Often,NA,Always,NA,Sometimes,NA,Often,NA,Often,NA,Sometimes,NA,Always,NA,Always,NA,Always,NA,Always,NA,Always,NA,NA,Often,NA,Sometimes,NA,Often,NA,Often,NA,Sometimes,NA,NA,Sometimes,NA,Often,NA,Always,NA,Always,NA,NA,Often,NA,Often,NA,Sometimes,NA,Often,NA,Always,NA,NA,Agree,NA,Agree,NA,Strongly Disagree,NA,Slightly Agree,NA,Agree,NA,Slightly Agree,NA,Agree,NA,Agree,NA,Agree,NA,NA,"As an infant, 0 to 6 months",NA,"As an infant, 0 to 6 months",NA,"As an infant, 0 to 6 months",NA,Disagree,NA,Strongly Disagree,NA,Agree,NA,Disagree,NA,Strongly Disagree,NA,Disagree,NA,Neutral,NA,Disagree,NA,Disagree,NA,Agree,NA,Disagree,NA,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3245,50,2021-06-07T10:37:10Z,2021-06-07T10:54:49Z,Complete,1989,Houston,Freeman,1 to 2 times  a week,2,3 to 6 times a week,3,Every day,4,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,12,Agree,5,Somewhat Agree,3,Somewhat Agree,3,Disagree,5,Somewhat Agree,3,Strongly Disagree,1,Agree,5,Agree,5,Disagree,2,Agree,5,37,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,8,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Often,3,Often,3,Often,3,Sometimes,2,Often,3,30,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,11,Often,4,Often,4,Often,4,Often,4,16,Sometimes,3,Sometimes,3,Sometimes,3,Often,4,Often,4,17,Slightly Agree,3,Slightly Agree,3,Slightly Disagree,4,Slightly Disagree,4,Slightly Disagree,4,Slightly Agree,3,Agree,5,Slightly Agree,4,Slightly Agree,4,34,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,0,Agree,3,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Agree,1,Strongly Disagree,4,Agree,1,52,NA,NA,Health Care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Health Care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Enrolled in job training or educational program (not AVANCE classes),Yes,ESL Classes,NA,NA,NA,NA,NA,NA,NA,NA,ESL Classes,Adult Basic Education,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1200,Yes,10
A7132,45,2021-06-02T18:45:34Z,2021-06-02T19:22:48Z,Complete,1979,Houston,Freeman,3 to 6 times a week,3,Not at all,1,1 to 2 times a week,2,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Disagree,5,Disagree,5,Disagree,5,Agree,2,Somewhat Agree,4,Agree,5,Somewhat Agree,4,Disagree,2,Agree,5,42,N/A,0,Sometimes,2,N/A,0,N/A,0,2,Sometimes,2,Often,3,Rarely,1,Often,3,Sometimes,2,Rarely,1,Rarely,1,Often,3,Sometimes,2,Often,3,Rarely,1,Rarely,1,23,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,10,Sometimes,3,Often,4,Sometimes,3,Sometimes,3,13,Never,1,Never,1,Never,1,Sometimes,3,Never,1,7,Slightly Agree,3,Disagree,5,Slightly Agree,3,Disagree,5,Disagree,5,Disagree,5,Agree,5,Agree,5,Agree,5,41,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Strongly Disagree,4,Strongly Disagree,4,Neutral,2,Strongly Agree,4,Agree,1,Strongly Disagree,4,Neutral,2,Neutral,2,Strongly Disagree,4,Neutral,2,Disagree,3,Neutral,2,48,NA,NA,Health Care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food Stamps,Health Care,Health Clinics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unemployed (Not seeking employment),Yes,ESL Classes,GED Classes,NA,NA,Finance/Accounting,NA,NA,NA,NA,ESL Classes,NA,NA,NA,NA,GED,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,2000,I don't know/Unsure,10
A4353,38,2021-06-02T10:58:20Z,2021-06-02T20:26:51Z,Partial,1986,Houston,Kruse,3 to 6 times a week,NA,Every day,NA,Every day,NA,3 to 6 times a week,NA,Parents should <strong>always</strong> spend time teaching their children,NA,NA,NA,NA,Disagree,NA,Somewhat Agree,NA,Disagree,NA,Agree,NA,Strongly Agree,NA,Agree,NA,Strongly Agree,NA,Agree,NA,Somewhat Agree,NA,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4492,12,2021-05-26T11:51:23Z,2021-05-27T15:17:03Z,Complete,1978,Houston,Freeman,3 to 6 times a week,3,Not at all,1,3 to 6 times a week,3,1 to 2 times a week,2,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,10,Agree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,5,Strongly Agree,6,Somewhat Agree,4,Strongly Agree,6,Somewhat Agree,4,50,N/A,0,N/A,0,N/A,0,N/A,0,0,Sometimes,2,Often,3,Sometimes,2,Always,4,Sometimes,2,Sometimes,2,Rarely,1,Always,4,Sometimes,2,Always,4,Always,4,N/A,0,30,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Rarely,1,10,Always,5,Often,4,Sometimes,3,Sometimes,3,15,Never,1,Often,4,Never,1,Always,5,Sometimes,3,14,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Slightly Agree,3,Disagree,5,Agree,5,Strongly Disagree,1,Disagree,2,36,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Disagree,3,Disagree,3,Disagree,1,Agree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,Disagree,3,49,NA,NA,Health Care,Health Clinics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public Library,NA,NA,Banks- Financial Literacy,NA,NA,NA,NA,NA,NA,NA,NA,Health Care,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public Library,NA,NA,NA,NA,NA,NA,NA,NA,NA,Full-time job,No,ESL Classes,NA,NA,NA,NA,NA,Computer/Tech Literacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,4000,No,10
A3816,18,2021-05-26T13:56:27Z,2021-05-26T14:29:03Z,Complete,1988,Houston,Freeman,3 to 6 times a week,3,3 to 6 times a week,3,3 to 6 times a week,3,3 to 6 times a week,3,Parents should <strong>always</strong> spend time teaching their children,1,NA,NA,13,Agree,5,Disagree,5,Strongly Disagree,6,Disagree,5,Disagree,5,Agree,5,Agree,5,Strongly Agree,6,Strongly Disagree,1,Agree,5,48,Rarely,1,Sometimes,2,Rarely,1,N/A,0,4,Often,3,Often,3,Sometimes,2,Often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Often,3,Sometimes,2,Rarely,1,27,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,10,Often,4,Often,4,Often,4,Often,4,16,Often,4,Sometimes,3,Seldom,2,Often,4,Sometimes,3,16,Disagree,5,Slightly Agree,3,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Disagree,2,Slightly Agree,4,Slightly Agree,4,38,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,Strongly Disagree,4,Strongly Disagree,4,Neutral,2,Strongly Disagree,0,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,Strongly Disagree,4,57,NA,Food Stamps,Health Care,NA,NA,NA,NA,NA,NA,NA,Head Start/Early Head Start,NA,NA,NA,Public Library,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food Stamps,Health Care,NA,NA,NA,NA,NA,NA,NA,Head Start/Early Head Start,NA,NA,NA,Public Library,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unemployed (Currently seeking employment),Yes,NA,NA,NA,NA,NA,NA,NA,Other - Write In (Required),Na,NA,NA,NA,Financial Literacy,NA,NA,College/University,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,600,No,10
A6812,56,2021-06-10T15:40:02Z,2021-06-10T15:57:36Z,Complete,1989,Houston,Kruse,1 to 2 times  a week,2,1 to 2 times a week,2,1 to 2 times a week,2,3 to 6 times a week,3,Parents should <strong>usually</strong> allow their children to learn <strong>on their own</strong>,0,NA,NA,9,Agree,5,Disagree,5,Disagree,5,Disagree,5,Agree,2,Disagree,2,Agree,5,Disagree,2,Disagree,2,Agree,5,38,N/A,0,N/A,0,N/A,0,N/A,0,0,Rarely,1,Rarely,1,Rarely,1,Sometimes,2,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,Sometimes,2,Rarely,1,Sometimes,2,N/A,0,17,N/A,0,Rarely,1,Rarely,1,Rarely,1,Rarely,1,4,Sometimes,3,Always,5,Sometimes,3,Sometimes,3,14,Always,5,Often,4,Sometimes,3,Often,4,Seldom,2,18,Disagree,5,Disagree,5,Disagree,5,Disagree,5,Agree,2,Disagree,5,Agree,5,Agree,5,Agree,5,42,"As an infant, 0 to 6 months",5,"As an infant, 0 to 6 months",5,"As a baby, 6 to 12 months",4,Disagree,3,Disagree,3,Agree,3,Agree,3,Agree,1,Disagree,3,Disagree,3,Agree,1,Disagree,3,Agree,1,Disagree,3,Agree,1,42,NA,NA,Health Care,Health Clinics,Family Planning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Health Care,Health Clinics,Family Planning,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public Library,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unemployed (Not seeking employment),Yes,NA,NA,NA,NA,NA,NA,Computer/Tech Literacy,NA,NA,ESL Classes,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1600,I don't know/Unsure,8
